Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming
20040410,8,0,3,2,12,1,2,0,1,6,9,0,1,6,5,3,0,2,2,1,1,1,3,3,2,7,0,1,0,0,3,2,3,6,0,2,3,1,5,0,2,2,2,13,0,0,6,1,0,4,1
20040411,1,0,2,1,12,0,0,0,0,10,3,0,1,2,0,3,1,1,0,0,1,0,0,1,1,3,1,0,2,0,2,2,3,4,0,2,1,0,1,0,3,0,4,10,1,0,4,1,3,3,1
20040412,3,0,5,0,15,2,0,0,0,8,2,0,0,4,4,3,1,3,1,0,1,2,1,1,1,5,0,0,0,0,0,0,2,2,0,3,2,1,2,1,0,1,3,6,2,0,1,0,1,0,0
20040413,2,0,4,1,13,2,0,0,0,6,0,0,0,4,1,1,2,4,2,0,0,2,2,1,2,3,1,0,0,0,1,0,1,1,0,3,0,1,2,0,4,1,5,3,0,0,0,0,1,1,0
20040414,4,0,2,5,8,1,0,0,0,1,2,0,0,2,6,1,3,5,4,1,0,0,1,0,3,2,1,0,2,0,1,0,5,0,0,5,1,2,1,0,1,0,4,4,0,0,1,1,1,1,1
20040415,3,0,4,2,8,3,1,0,1,9,3,0,1,3,2,1,1,1,3,0,2,0,2,1,4,1,0,0,2,0,2,0,2,6,0,9,0,1,6,0,1,0,3,6,0,0,3,1,3,2,0
20040416,1,0,3,2,10,0,1,0,0,8,4,1,0,11,2,1,1,3,3,0,3,0,1,2,4,4,1,1,1,0,3,3,3,5,0,5,1,2,4,0,4,0,5,14,0,0,2,2,0,1,1
20040417,6,0,4,1,17,4,1,0,2,9,6,1,0,5,5,0,0,1,6,0,3,2,2,3,7,3,0,0,0,0,1,3,6,1,0,7,2,1,4,1,2,0,3,10,0,1,0,1,0,1,1
20040418,10,1,3,3,10,3,1,2,0,15,4,0,0,7,6,0,0,4,2,0,2,1,5,2,4,3,1,3,1,2,2,2,6,6,0,7,1,0,5,0,1,1,4,14,0,0,2,1,1,3,2
20040419,5,0,4,1,7,2,0,0,0,6,5,0,1,1,3,0,1,2,2,0,0,1,2,1,2,1,0,1,1,1,2,1,3,1,1,2,1,0,5,0,3,1,4,7,1,1,1,3,0,1,0
